RANK,DRUG NAME,NDC,RXS,RFS,QTY,TOTAL U&C,TOTAL PRICE,TOTAL COST,GROSS MARGIN,PCT MARGIN
1,5 SERIES BP MONITOR DEVI,73796027424,2,0,2,93.1,125,92.54,32.46,25.9
2,A&D OINTMENT 5 GRAM PACKET,6784011502,1,0,144,11.44,15,5.69,9.31,62
3,A+D PREVENT OINT,85009604,1,0,454,19.85,15,9.08,5.92,39.4
4,AA BATTERIES,4133304864,1,0,4,11.2,5,2.8,2.2,44
5,ABDOMINAL PADS 8X10,82199019403,1,0,24,19.36,8,10.32,-2.32,0
6,ABILIFY 10 MG TABS,59148000813,0,2,60,2160.72,1736.9,1712.58,24.32,1.4
7,ABILIFY 15 MG TABS,59148000913,2,7,270,9723.24,7798.41,7706.61,91.8,1.1
8,ABILIFY MAINTENA ER 300 MG,59148001871,4,6,10,20182.64,16146.34,16066.86,79.48,0.4
9,ABREVA 10 % CREA,135020001,4,1,10,142.75,74.95,81.62,-6.67,0
10,ACAMPROSATE CALC DR 333 MG,68462043518,1,0,180,326.26,71.9,83.21,-11.31,0
11,ACCU-CHEK AVIVA PLUS METER,65702010110,3,0,3,116.22,92.09,73.65,18.44,20
12,ACCU-CHEK AVIVA PLUS STRP,65702043810,2,0,150,213.71,190.35,165.48,24.87,13
13,ACCU-CHEK AVIVA PLUS STRP,65702040710,1,1,200,394.72,344.7,320.08,24.62,7.1
14,ACCU-CHEK AVIVA PLUS STRP,65702040810,1,2,300,592.11,451.31,480.12,-28.81,0
15,ACCU-CHEK FASTCLIX LANCETS,65702028810,2,0,204,51.16,40.26,26.62,13.64,33.8
16,ACCU-CHEK SMARTVIEW STRP,65702049310,1,0,100,197.37,167.65,160.04,7.61,4.5
17,ACCU-CHEK SOFTCLIX LANCETS,65702012410,1,0,200,31.96,17.78,89,-71.22,0
18,ACCU-CHEK SOFTCLIX LANCETS,65702015610,1,1,200,41,16.12,17.94,-1.82,0
19,ACE BANDAGE 3,51131020813,3,0,6,48.6,35.5,18.6,16.9,47.6
20,ACE ELASTIC BANDAGE/CLIPS M,51131020814,3,1,17,109.02,114,63.07,50.93,44.6
21,ACETAMINOPHEN 120 MG SUPP,45802073233,2,0,62,42.92,11.83,12.12,-0.29,0
22,ACETAMINOPHEN 160 MG/5 ML L,58657052016,1,0,240,14.03,2.43,1.7,0.73,30
23,ACETAMINOPHEN 325 MG TABS,37864000102,20,3,767,242.64,22,7.67,14.33,65.1
24,ACETAMINOPHEN 325MG TAB,51645070310,31,2,1560,355.72,42.11,7.43,34.68,82.3
25,ACETAMINOPHEN 500 MG TABS,10135014410,2,0,200,25.84,10.54,2,8.54,81
26,ACETAMINOPHEN 500MG,83786400104,4,0,53,40.53,4,0.53,3.47,86.7
27,ACETAMINOPHEN 650 MG SUPP,45802073033,1,0,10,14.29,2.11,2.5,-0.39,0
28,ACETAMINOPHEN-COD #3 TABLET,93015001,2,0,27,29.74,13.55,4.73,8.82,65
29,ACETAMINOPHEN-COD #3 TABLET,406048410,8,0,204,178.54,47.26,22.44,24.82,52.5
30,ACETAMINOPHEN-COD #3 TABLET,13107005999,7,0,229,180.64,34.95,17.27,17.68,50.5
31,ACETAMINOPHEN-COD #3 TABLET,406048401,1,0,10,16.14,2.26,1.35,0.91,40.2
32,ACETAMINOPHEN-COD #4 TABLET,13107006001,1,0,60,75.13,11.53,480,-468.47,0
33,ACETAZOLAMIDE 125 MG TABS,51672402201,3,7,600,1407.9,741.05,730.2,10.85,1.4
34,ACETAZOLAMIDE 250 MG TABS,51672402301,1,0,30,96.49,45,26.1,18.9,42
35,ACETIC ACID 2 % SOLN,50383088915,2,0,30,100,27.45,33.36,-5.91,0
36,ACETIC ACID 2 % SOLN,64980042415,1,0,15,58,29,16,13,44.8
37,ACIDOPHILUS 100 MG CAPS,47469016108,4,19,1318,288.92,135,52.72,82.28,60.9
38,ACIDOPHILUS CHEW,79854001156,1,9,300,114.3,100,51,49,49
39,ACIDOPHILUS XTRA TABS,30768001869,3,8,720,168.67,79.66,43.2,36.46,45.7
40,ACIDOPHILUS/PECTIN CAPS,904421360,2,7,266,102.33,20,6.58,13.42,67.1
